grouping,n,mean_jaccard,sd_jaccard,median_jaccard,q1_jaccard,q3_jaccard
Guideline,1830,0.16597946830422622,0.15133594464821384,0.13793103448275862,0.052748020493712154,0.24
Discipline,28,0.16447412028268735,0.08679561468233109,0.1503968253968254,0.10170454545454546,0.19860627177700346
Methodology,36,0.15462574115133573,0.1089109208905092,0.15264629948364888,0.06562464166953332,0.20113636363636367
Guideline type,3,0.40520822898169645,0.04447658779636468,0.41025641025641024,0.38433967466225527,0.4286008739384945
